"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"HINDALCO","EQ","17-Nov-2016","        162.80","        164.00","        169.80","        162.00","        168.60","        168.30","        167.00","   10560503","          1763644740.70","      71574"
"HINDALCO","EQ","18-Nov-2016","        168.30","        169.00","        169.30","        163.60","        166.20","        165.35","        165.98","    8775559","          1456562934.25","      59156"
"HINDALCO","EQ","21-Nov-2016","        165.35","        166.50","        170.80","        156.10","        156.45","        157.35","        162.42","   16027161","          2603106964.45","      70195"
"HINDALCO","EQ","22-Nov-2016","        157.35","        158.85","        167.30","        158.65","        167.15","        166.55","        164.46","   15431966","          2537881661.85","      90523"
"HINDALCO","EQ","23-Nov-2016","        166.55","        168.95","        174.30","        168.00","        173.10","        173.70","        171.87","   15975588","          2745715380.15","      89864"
"HINDALCO","EQ","24-Nov-2016","        173.70","        173.50","        181.15","        172.15","        180.20","        180.45","        178.03","   24353559","          4335555152.45","     121594"
"HINDALCO","EQ","25-Nov-2016","        180.45","        182.90","        184.80","        178.85","        180.05","        180.50","        181.78","   17338861","          3151802528.70","     104623"
"HINDALCO","EQ","28-Nov-2016","        180.50","        180.30","        182.35","        177.70","        178.50","        178.65","        179.45","   12519439","          2246615404.15","      66266"
"HINDALCO","EQ","29-Nov-2016","        178.65","        179.70","        180.85","        174.80","        175.55","        175.40","        176.98","    9819481","          1737878164.30","      58825"
"HINDALCO","EQ","30-Nov-2016","        175.40","        175.00","        178.70","        172.80","        175.55","        175.75","        175.16","   15095725","          2644183664.90","     106791"
"HINDALCO","EQ","01-Dec-2016","        175.75","        176.80","        177.50","        169.70","        171.60","        171.35","        173.30","    7638033","          1323639452.55","      36994"
"HINDALCO","EQ","02-Dec-2016","        171.35","        170.95","        174.15","        167.50","        169.40","        168.75","        169.92","   11034636","          1875040537.95","      56669"
"HINDALCO","EQ","05-Dec-2016","        168.75","        168.50","        175.40","        167.80","        175.05","        174.50","        171.28","    9144499","          1566254773.45","      53093"
"HINDALCO","EQ","06-Dec-2016","        174.50","        176.95","        177.85","        174.20","        175.95","        175.40","        175.80","    8668165","          1523822218.25","      44946"
"HINDALCO","EQ","07-Dec-2016","        175.40","        176.50","        176.80","        172.45","        176.20","        175.05","        175.21","    6213861","          1088735214.80","      33749"
"HINDALCO","EQ","08-Dec-2016","        175.05","        177.45","        181.40","        176.30","        178.65","        179.20","        179.44","    9432763","          1692608597.40","      52166"
